device,tau,experiment,stratification,counter,label,median_spearman_rho,defined_kernels
H100,speedup,2,temporal,tex_source_l2_read_requests,Read requests,0.7670783695562264,6
H100,speedup,2,temporal,l2_read_work,Read sectors,0.7736884712297694,6
H100,speedup,2,temporal,l2_read_misses,Read-sector misses,0.24443685883730773,6
H100,speedup,3,all,tex_source_l2_read_requests,Read requests,0.12261051270551396,6
H100,speedup,3,all,l2_read_work,Read sectors,0.007688266285767499,6
H100,speedup,3,all,l2_read_misses,Read-sector misses,0.18210906956475453,6
H100,speedup,3,issue,tex_source_l2_read_requests,Read requests,0.16529844717619643,6
H100,speedup,3,issue,l2_read_work,Read sectors,0.10370282190211995,6
H100,speedup,3,issue,l2_read_misses,Read-sector misses,0.17160592334841718,6
H100,speedup,3,temporal,tex_source_l2_read_requests,Read requests,0.1076094942884725,6
H100,speedup,3,temporal,l2_read_work,Read sectors,0.06518416739413797,6
H100,speedup,3,temporal,l2_read_misses,Read-sector misses,0.0865722318581465,6
MI300A,expert,1,all,l1_to_l2_read_requests,TCP→TCC reads,0.9770244209696742,6
MI300A,expert,1,all,l1_to_l2_write_requests,TCP→TCC writes,,0
MI300A,expert,1,all,l1_to_l2_total_requests,TCP→TCC total,0.9770244209696742,6
MI300A,expert,1,all,l2_tag_requests,TCC tag requests,0.9635761693031824,6
MI300A,expert,1,all,second_level_read_requests,TCC reads,0.9659355513270078,6
MI300A,expert,1,all,l2_hits,TCC hits,0.9305326588724547,6
MI300A,expert,1,all,l2_misses,TCC misses,0.10592006994161177,6
MI300A,expert,1,all,l2_hit_rate_percent,TCC hit rate,0.9317838181943962,6
MI300A,expert,1,issue,l1_to_l2_read_requests,TCP→TCC reads,0.9807758329151233,6
MI300A,expert,1,issue,l1_to_l2_write_requests,TCP→TCC writes,,0
MI300A,expert,1,issue,l1_to_l2_total_requests,TCP→TCC total,0.9807758329151233,6
MI300A,expert,1,issue,l2_tag_requests,TCC tag requests,0.9782491832747492,6
MI300A,expert,1,issue,second_level_read_requests,TCC reads,0.9796305275990126,6
MI300A,expert,1,issue,l2_hits,TCC hits,0.953113527114164,6
MI300A,expert,1,issue,l2_misses,TCC misses,0.2843724792343589,6
MI300A,expert,1,issue,l2_hit_rate_percent,TCC hit rate,0.9525978199783567,6
MI300A,expert,1,temporal,l1_to_l2_read_requests,TCP→TCC reads,0.9653068955406865,6
MI300A,expert,1,temporal,l1_to_l2_write_requests,TCP→TCC writes,,0
MI300A,expert,1,temporal,l1_to_l2_total_requests,TCP→TCC total,0.9653068955406865,6
MI300A,expert,1,temporal,l2_tag_requests,TCC tag requests,0.9384828266113477,6
MI300A,expert,1,temporal,second_level_read_requests,TCC reads,0.9425061222471891,6
MI300A,expert,1,temporal,l2_hits,TCC hits,0.9133244963242679,6
MI300A,expert,1,temporal,l2_misses,TCC misses,0.11256975698993632,6
MI300A,expert,1,temporal,l2_hit_rate_percent,TCC hit rate,0.91544739423237,6
MI300A,expert,2,all,l1_to_l2_read_requests,TCP→TCC reads,0.9594533636507361,6
MI300A,expert,2,all,l1_to_l2_write_requests,TCP→TCC writes,,0
MI300A,expert,2,all,l1_to_l2_total_requests,TCP→TCC total,0.9594533636507361,6
MI300A,expert,2,all,l2_tag_requests,TCC tag requests,0.9586160486330053,6
MI300A,expert,2,all,second_level_read_requests,TCC reads,0.9564574196375382,6
MI300A,expert,2,all,l2_hits,TCC hits,0.9241730357101162,6
MI300A,expert,2,all,l2_misses,TCC misses,0.017483695379111527,6
MI300A,expert,2,all,l2_hit_rate_percent,TCC hit rate,0.9229249173232111,6
MI300A,expert,2,issue,l1_to_l2_read_requests,TCP→TCC reads,0.9721733453596206,6
MI300A,expert,2,issue,l1_to_l2_write_requests,TCP→TCC writes,,0
MI300A,expert,2,issue,l1_to_l2_total_requests,TCP→TCC total,0.9721733453596206,6
MI300A,expert,2,issue,l2_tag_requests,TCC tag requests,0.9702929998793514,6
MI300A,expert,2,issue,second_level_read_requests,TCC reads,0.9671391802706932,6
MI300A,expert,2,issue,l2_hits,TCC hits,0.9421884060173864,6
MI300A,expert,2,issue,l2_misses,TCC misses,0.02964388416031845,6
MI300A,expert,2,issue,l2_hit_rate_percent,TCC hit rate,0.9403154802307611,6
MI300A,expert,2,temporal,l1_to_l2_read_requests,TCP→TCC reads,0.9591033105649982,6
MI300A,expert,2,temporal,l1_to_l2_write_requests,TCP→TCC writes,,0
