platform,case,exp,tau,status,proposal,deployed,baseJ,proposedJ,accepted,baseline_us,speedup,identity_max_deviation,rejections,exclusion,path
matrix,sum--large,4,expert,failed,0,,,,,0,,,null,"{""category"": ""search"", ""message"": ""FileNotFoundError: [Errno 2] No such file or directory: '/usr/WS1/dnicho/record-replay/relay/triton/experiments/results/search-v2/shared/matrix/sum--large/capture.json'""}",triton/experiments/results/search-v2/tau-profiles/expert/experiment-4/matrix/sum--large/report.json
matrix,sum--small,4,expert,complete,1,0,0.30000000000000004,0.0,False,10.574719905853271,0.9996572570038729,0.00018135630197957386,"[""instruction count increased by more than the declared 10% budget""]",null,triton/experiments/results/search-v2/tau-profiles/expert/experiment-4/matrix/sum--small/report.json
matrix,template_attention--default,4,expert,incomplete,0,,,,,0,,,null,"{""category"": ""preflight_incomplete"", ""message"": ""Preflight did not finish; inspect the recorded scheduler job/log before retrying""}",triton/experiments/results/search-v2/tau-profiles/expert/experiment-4/matrix/template_attention--default/report.json
matrix,vector_add--large,4,expert,complete,0,0,0.0,0.0,True,261.14816665649414,1.0000588218139888,0.000399650674624219,[],null,triton/experiments/results/search-v2/tau-profiles/expert/experiment-4/matrix/vector_add--large/report.json
matrix,vector_add--small,4,expert,complete,0,0,0.0,0.0,True,1.5321600437164307,0.9981953641629137,0.0008354282255310652,[],null,triton/experiments/results/search-v2/tau-profiles/expert/experiment-4/matrix/vector_add--small/report.json
matrix,vector_exp--large,4,expert,complete,0,0,0.0,0.0,True,177.6736068725586,1.0001909771776587,0.0007630453889176936,[],null,triton/experiments/results/search-v2/tau-profiles/expert/experiment-4/matrix/vector_exp--large/report.json
matrix,vector_exp--small,4,expert,complete,0,0,0.0,0.0,True,1.483519971370697,1.0006994915666758,0.007620718299275797,[],null,triton/experiments/results/search-v2/tau-profiles/expert/experiment-4/matrix/vector_exp--small/report.json
tuolumne,bf16xint16_gemm--output,4,expert,prepared,1,,0.5,0.0,,0,,,null,null,triton/experiments/results/search-v2/tau-profiles/expert/experiment-4/tuolumne/bf16xint16_gemm--output/report.json
tuolumne,bf16xint16_gemm--projection,4,expert,running,0,,,,,0,,,null,null,triton/experiments/results/search-v2/tau-profiles/expert/experiment-4/tuolumne/bf16xint16_gemm--projection/report.json
tuolumne,fp8_gemm--large,4,expert,running,0,,,,,0,,,null,null,triton/experiments/results/search-v2/tau-profiles/expert/experiment-4/tuolumne/fp8_gemm--large/report.json
tuolumne,fp8_gemm--small,4,expert,validated,2,0,0.9500000000000001,0.0,False,0,,,"[""n_regs increased: 60 -> 64"", ""n_spills increased: 0 -> 6"", ""load_instruction_count increased: 13 -> 24"", ""execution layout encodings changed"", ""instruction count increased by more than the declared 10% budget"", ""matrix instruction forms changed"", ""lowered memory instruction widths/counts changed"", ""matrix instruction count changed""]",null,triton/experiments/results/search-v2/tau-profiles/expert/experiment-4/tuolumne/fp8_gemm--small/report.json
tuolumne,gather_gemv--large,4,expert,prepared,0,,0.0,0.0,,0,,,null,null,triton/experiments/results/search-v2/tau-profiles/expert/experiment-4/tuolumne/gather_gemv--large/report.json
tuolumne,gather_gemv--small,4,expert,validated,0,0,0.0,0.0,True,0,,,[],null,triton/experiments/results/search-v2/tau-profiles/expert/experiment-4/tuolumne/gather_gemv--small/report.json
tuolumne,gemm--asymmetric,4,expert,prepared,0,,0.0,0.0,,0,,,null,null,triton/experiments/results/search-v2/tau-profiles/expert/experiment-4/tuolumne/gemm--asymmetric/report.json
tuolumne,gemm--square,4,expert,validated,0,0,0.0,0.0,True,0,,,[],null,triton/experiments/results/search-v2/tau-profiles/expert/experiment-4/tuolumne/gemm--square/report.json
tuolumne,int4_gemm--decode,4,expert,validated,0,0,0.24583333333333332,0.24583333333333332,True,0,,,[],null,triton/experiments/results/search-v2/tau-profiles/expert/experiment-4/tuolumne/int4_gemm--decode/report.json
tuolumne,int4_gemm--prefill,4,expert,running,0,,,,,0,,,null,null,triton/experiments/results/search-v2/tau-profiles/expert/experiment-4/tuolumne/int4_gemm--prefill/report.json
tuolumne,jagged_mean--large,4,expert,prepared,0,,0.0,0.0,,0,,,null,null,triton/experiments/results/search-v2/tau-profiles/expert/experiment-4/tuolumne/jagged_mean--large/report.json
tuolumne,jagged_mean--small,4,expert,validated,0,0,0.0,0.0,True,0,,,[],null,triton/experiments/results/search-v2/tau-profiles/expert/experiment-4/tuolumne/jagged_mean--small/report.json
tuolumne,jagged_softmax--large,4,expert,running,0,,,,,0,,,null,null,triton/experiments/results/search-v2/tau-profiles/expert/experiment-4/tuolumne/jagged_softmax--large/report.json
tuolumne,jagged_softmax--small,4,expert,validated,0,0,0.0,0.0,True,0,,,[],null,triton/experiments/results/search-v2/tau-profiles/expert/experiment-4/tuolumne/jagged_softmax--small/report.json
tuolumne,jagged_sum--large,4,expert,prepared,0,,0.0,0.0,,0,,,null,null,triton/experiments/results/search-v2/tau-profiles/expert/experiment-4/tuolumne/jagged_sum--large/report.json
tuolumne,jagged_sum--small,4,expert,validated,0,0,0.0,0.0,True,0,,,[],null,triton/experiments/results/search-v2/tau-profiles/expert/experiment-4/tuolumne/jagged_sum--small/report.json
tuolumne,layer_norm--large,4,expert,prepared,0,,0.0,0.0,,0,,,null,null,triton/experiments/results/search-v2/tau-profiles/expert/experiment-4/tuolumne/layer_norm--large/report.json
tuolumne,layer_norm--small,4,expert,validated,0,0,0.0,0.0,True,0,,,[],null,triton/experiments/results/search-v2/tau-profiles/expert/experiment-4/tuolumne/layer_norm--small/report.json
tuolumne,low_mem_dropout--large,4,expert,validated,0,0,0.0,0.0,True,0,,,[],null,triton/experiments/results/search-v2/tau-profiles/expert/experiment-4/tuolumne/low_mem_dropout--large/report.json
tuolumne,low_mem_dropout--small,4,expert,validated,0,0,0.0,0.0,True,0,,,[],null,triton/experiments/results/search-v2/tau-profiles/expert/experiment-4/tuolumne/low_mem_dropout--small/report.json
tuolumne,softmax--large,4,expert,validated,0,0,0.0,0.0,True,0,,,[],null,triton/experiments/results/search-v2/tau-profiles/expert/experiment-4/tuolumne/softmax--large/report.json
tuolumne,softmax--small,4,expert,validated,0,0,0.0,0.0,True,0,,,[],null,triton/experiments/results/search-v2/tau-profiles/expert/experiment-4/tuolumne/softmax--small/report.json
tuolumne,sum--large,4,expert,failed,0,,,,,0,,,null,"{""category"": ""search"", ""message"": ""FileNotFoundError: [Errno 2] No such file or directory: '/usr/WS1/dnicho/record-replay/relay/triton/experiments/results/search-v2/shared/tuolumne/sum--large/capture.json'""}",triton/experiments/results/search-v2/tau-profiles/expert/experiment-4/tuolumne/sum--large/report.json
tuolumne,sum--small,4,expert,validated,1,0,0.30000000000000004,0.0,False,0,,,"[""n_regs increased: 8 -> 11"", ""execution layout encodings changed"", ""instruction count increased by more than the declared 10% budget""]",null,triton/experiments/results/search-v2/tau-profiles/expert/experiment-4/tuolumne/sum--small/report.json
tuolumne,template_attention--default,4,expert,running,0,,,,,0,,,null,null,triton/experiments/results/search-v2/tau-profiles/expert/experiment-4/tuolumne/template_attention--default/report.json
tuolumne,vector_add--large,4,expert,validated,0,0,0.0,0.0,True,0,,,[],null,triton/experiments/results/search-v2/tau-profiles/expert/experiment-4/tuolumne/vector_add--large/report.json
tuolumne,vector_add--small,4,expert,validated,0,0,0.0,0.0,True,0,,,[],null,triton/experiments/results/search-v2/tau-profiles/expert/experiment-4/tuolumne/vector_add--small/report.json
tuolumne,vector_exp--large,4,expert,validated,0,0,0.0,0.0,True,0,,,[],null,triton/experiments/results/search-v2/tau-profiles/expert/experiment-4/tuolumne/vector_exp--large/report.json
tuolumne,vector_exp--small,4,expert,validated,0,0,0.0,0.0,True,0,,,[],null,triton/experiments/results/search-v2/tau-profiles/expert/experiment-4/tuolumne/vector_exp--small/report.json
