Index,KernelName,gpu-id,queue-id,queue-index,pid,tid,grd,wgr,lds,scr,arch_vgpr,accum_vgpr,sgpr,wave_size,sig,obj,TCP_TOTAL_CACHE_ACCESSES_sum,TCP_TCC_READ_REQ_sum,TCP_TCC_WRITE_REQ_sum,TCC_REQ_sum,TCC_HIT_sum,TCC_MISS_sum,FETCH_SIZE,WRITE_SIZE,DispatchNs,BeginNs,EndNs,CompleteNs
18,"mvt_kernel(double const*, double const*, double const*, double*, double*, double, double, unsigned int) [clone .kd]",4,0,23,496063,496063,256,128,0,0,24,0,32,64,0x0,0x155555358a00,49408.0000000000,36970.0000000000,64.0000000000,37257.0000000000,30981.0000000000,6276.0000000000,794.7500000000,4.0000000000,344863281628666,344863282311345,344863282376425,344863282376040
19,"mvt_kernel(double const*, double const*, double const*, double*, double*, double, double, unsigned int) [clone .kd]",4,0,24,496063,496063,256,128,0,0,24,0,32,64,0x0,0x155555358a00,49408.0000000000,37033.0000000000,64.0000000000,37275.0000000000,30989.0000000000,6286.0000000000,796.2500000000,4.0000000000,344863282302620,344863282624866,344863282689466,344863282775752
20,"mvt_kernel(double const*, double const*, double const*, double*, double*, double, double, unsigned int) [clone .kd]",4,0,27,496063,496063,256,128,0,0,24,0,32,64,0x0,0x155555358a00,49408.0000000000,36970.0000000000,64.0000000000,37216.0000000000,30940.0000000000,6276.0000000000,794.7500000000,4.0000000000,344863282800482,344863283424738,344863283489458,344863283490515
21,"mvt_kernel(double const*, double const*, double const*, double*, double*, double, double, unsigned int) [clone .kd]",4,0,28,496063,496063,256,128,0,0,24,0,32,64,0x0,0x155555358a00,49408.0000000000,36976.0000000000,64.0000000000,37280.0000000000,30996.0000000000,6284.0000000000,797.2500000000,4.0000000000,344863283412325,344863283758739,344863283823339,344863283878447
22,"mvt_kernel(double const*, double const*, double const*, double*, double*, double, double, unsigned int) [clone .kd]",4,0,29,496063,496063,256,128,0,0,24,0,32,64,0x0,0x155555358a00,49408.0000000000,37011.0000000000,64.0000000000,37216.0000000000,30940.0000000000,6276.0000000000,794.7500000000,4.0000000000,344863283748276,344863284443780,344863284508981,344863284508840
23,"mvt_kernel(double const*, double const*, double const*, double*, double*, double, double, unsigned int) [clone .kd]",4,0,30,496063,496063,256,128,0,0,24,0,32,64,0x0,0x155555358a00,49408.0000000000,37012.0000000000,64.0000000000,37283.0000000000,30997.0000000000,6286.0000000000,795.7500000000,4.0000000000,344863284433960,344863284734581,344863284799261,344863284878932
24,"mvt_kernel(double const*, double const*, double const*, double*, double*, double, double, unsigned int) [clone .kd]",4,0,33,496063,496063,256,128,0,0,24,0,32,64,0x0,0x155555358a00,49408.0000000000,37011.0000000000,64.0000000000,37216.0000000000,30940.0000000000,6276.0000000000,794.7500000000,4.0000000000,344863284912762,344863285438343,344863285503663,344863285505545
25,"mvt_kernel(double const*, double const*, double const*, double*, double*, double, double, unsigned int) [clone .kd]",4,0,34,496063,496063,256,128,0,0,24,0,32,64,0x0,0x155555358a00,49408.0000000000,36982.0000000000,64.0000000000,37274.0000000000,30990.0000000000,6284.0000000000,795.5000000000,4.0000000000,344863285428425,344863285680903,344863285747744,344863285859737
26,"mvt_kernel(double const*, double const*, double const*, double*, double*, double, double, unsigned int) [clone .kd]",4,0,35,496063,496063,256,128,0,0,24,0,32,64,0x0,0x155555358a00,49408.0000000000,37011.0000000000,64.0000000000,37216.0000000000,30940.0000000000,6276.0000000000,794.7500000000,4.0000000000,344863285672836,344863286370105,344863286434865,344863286436599
27,"mvt_kernel(double const*, double const*, double const*, double*, double*, double, double, unsigned int) [clone .kd]",4,0,36,496063,496063,256,128,0,0,24,0,32,64,0x0,0x155555358a00,49408.0000000000,37088.0000000000,64.0000000000,37278.0000000000,30978.0000000000,6300.0000000000,797.5000000000,4.0000000000,344863286361339,344863286647466,344863286712306,344863286801021
28,"mvt_kernel(double const*, double const*, double const*, double*, double*, double, double, unsigned int) [clone .kd]",4,0,39,496063,496063,256,128,0,0,24,0,32,64,0x0,0x155555358a00,49408.0000000000,36970.0000000000,64.0000000000,37216.0000000000,30940.0000000000,6276.0000000000,794.7500000000,4.0000000000,344863286826051,344863287360308,344863287424028,344863287424294
29,"mvt_kernel(double const*, double const*, double const*, double*, double*, double, double, unsigned int) [clone .kd]",4,0,40,496063,496063,256,128,0,0,24,0,32,64,0x0,0x155555358a00,49408.0000000000,37004.0000000000,64.0000000000,37277.0000000000,30985.0000000000,6292.0000000000,795.7500000000,4.0000000000,344863287348394,344863287623148,344863287690468,344863287810976
30,"mvt_kernel(double const*, double const*, double const*, double*, double*, double, double, unsigned int) [clone .kd]",4,0,41,496063,496063,256,128,0,0,24,0,32,64,0x0,0x155555358a00,49408.0000000000,36970.0000000000,64.0000000000,37216.0000000000,30940.0000000000,6276.0000000000,794.7500000000,4.0000000000,344863287616245,344863288250670,344863288316030,344863288317368
31,"mvt_kernel(double const*, double const*, double const*, double*, double*, double, double, unsigned int) [clone .kd]",4,0,42,496063,496063,256,128,0,0,24,0,32,64,0x0,0x155555358a00,49408.0000000000,36982.0000000000,64.0000000000,37310.0000000000,31028.0000000000,6282.0000000000,795.7500000000,4.0000000000,344863288241528,344863288493350,344863288561631,344863288693460
