case,stratification,candidate_id,mapping_id,sample_index,candidate_pool_index,sampling_origin,grammar,inner_tile_shape,inner_word,inner_a_rows,a_rows,quotient_score,address_expression_runs,xor_count,completed_profile_launches,complete,l1_cache_line_accesses,l1_cache_line_accesses_min,l1_cache_line_accesses_max,first_level_read_events,first_level_read_events_min,first_level_read_events_max,l1_to_l2_read_requests,l1_to_l2_read_requests_min,l1_to_l2_read_requests_max,l1_miss_demand_to_l2,l1_miss_demand_to_l2_min,l1_miss_demand_to_l2_max,l1_to_l2_write_requests,l1_to_l2_write_requests_min,l1_to_l2_write_requests_max,l1_to_l2_total_requests,l1_to_l2_total_requests_min,l1_to_l2_total_requests_max,l2_tag_requests,l2_tag_requests_min,l2_tag_requests_max,second_level_read_requests,second_level_read_requests_min,second_level_read_requests_max,l2_hits,l2_hits_min,l2_hits_max,l2_misses,l2_misses_min,l2_misses_max,hbm_read_bytes,hbm_read_bytes_min,hbm_read_bytes_max,hbm_write_bytes,hbm_write_bytes_min,hbm_write_bytes_max,hbm_total_bytes,hbm_total_bytes_min,hbm_total_bytes_max,duration_ns,duration_ns_min,duration_ns_max,hbm_bandwidth_gbps,hbm_bandwidth_gbps_min,hbm_bandwidth_gbps_max,l2_hit_rate_percent,l2_hit_rate_percent_min,l2_hit_rate_percent_max
softmax_bias,all,experiment1_candidate_6bf086fe2b52,mapping_0fadc8968e5d,1,1,row_major_anchor,canonical,"[1024, 256]",featurefeaturefeaturefeaturefeaturefeaturefeaturefeaturerowrowrowrowrowrowrowrowrowrow,,"[1024, 2048, 4096, 8192, 16384, 32768, 65536, 131072, 1, 2, 4, 8, 16, 32, 64, 128, 256, 512]",16384.0,2,0,1,True,49152.0,49152.0,49152.0,131072.0,131072.0,131072.0,16384.0,16384.0,16384.0,16384.0,16384.0,16384.0,16384.0,16384.0,16384.0,32768.0,32768.0,32768.0,35328.0,35328.0,35328.0,18934.0,18934.0,18934.0,10646.0,10646.0,10646.0,24682.0,24682.0,24682.0,2116864.0,2116864.0,2116864.0,1048576.0,1048576.0,1048576.0,3165440.0,3165440.0,3165440.0,2760.0,2760.0,2760.0,1146.8985507246377,1146.8985507246377,1146.8985507246377,30.13473731884058,30.13473731884058,30.13473731884058
softmax_bias,all,experiment1_candidate_729685a8c46c,mapping_770cda11adc3,2,2,column_major_anchor,canonical,"[1024, 256]",rowrowrowrowrowrowrowrowrowrowfeaturefeaturefeaturefeaturefeaturefeaturefeaturefeature,,"[1, 2, 4, 8, 16, 32, 64, 128, 256, 512, 1024, 2048, 4096, 8192, 16384, 32768, 65536, 131072]",262144.0,2,0,1,True,294912.0,294912.0,294912.0,327680.0,327680.0,327680.0,270336.0,270336.0,270336.0,270336.0,270336.0,270336.0,16384.0,16384.0,16384.0,286720.0,286720.0,286720.0,289299.5,289299.5,289299.5,272884.0,272884.0,272884.0,223638.0,223638.0,223638.0,65661.5,65661.5,65661.5,7362624.0,7362624.0,7362624.0,1048576.0,1048576.0,1048576.0,8411200.0,8411200.0,8411200.0,3920.0,3920.0,3920.0,2145.6163265306122,2145.6163265306122,2145.6163265306122,77.30327912791692,77.30327912791692,77.30327912791692
