(M, N, K);aten_matmul-latency;aten_matmul-tflops;triton_tutorial_matmul-latency;triton_tutorial_matmul-speedup;triton_tutorial_matmul-tflops;triton_tutorial_matmul-accuracy
(1024, 1024, 1024);0.010080000385642052;213.04400454774532;0.014879999682307243;0.6774193952186348;144.32014071568972;1.0
(2048, 2048, 2048);0.028511999174952507;602.5487402192525;0.03017600066959858;0.9448567915654077;569.3222694453411;1.0
(4096, 4096, 4096);0.19308799505233765;711.7943994122802;0.21036800742149353;0.9178581734886444;653.3263073440021;1.0
average;0.0772266648709774;509.1290480597593;0.08514133592446645;0.8467114534242289;455.65623916834437;1.0
