x_val;torch_add-latency;torch_add-gbps;triton_add-latency;triton_add-speedup;triton_add-gbps;triton_add-accuracy
1048576;0.0098879998549819;(1272.5437079836033, 1180.8288160877833, 1365.3332850403272);0.009855999611318111;1.0032467780971746;(1276.6753750223818, 1184.3855565149047, 1360.6090497519917);1.0
2097152;0.01414399966597557;(1779.2579605709575, 1684.0085461946944, 1854.7924614916835);0.014240000396966934;0.9932583758205645;(1767.2628720825192, 1698.5572209414427, 1828.9116895825255);1.0
4194304;0.023296000435948372;(2160.527432096565, 2077.759572851345, 2221.55939185349);0.023264000192284584;1.0013755262809187;(2163.49929436006, 2050.6700911456796, 2234.1818007319425);1.0
average;0.01577599998563528;;0.01578666673352321;0.9992935600662193;;1.0
