case,candidate_id,mapping_id,inner_tile_shape,inner_word,quotient_score,address_expression_runs,xor_count,completed_profile_launches,complete,l1_cache_line_accesses,l1_cache_line_accesses_min,l1_cache_line_accesses_max,l1_to_l2_read_requests,l1_to_l2_read_requests_min,l1_to_l2_read_requests_max,l1_to_l2_write_requests,l1_to_l2_write_requests_min,l1_to_l2_write_requests_max,l1_to_l2_total_requests,l1_to_l2_total_requests_min,l1_to_l2_total_requests_max,l2_tag_requests,l2_tag_requests_min,l2_tag_requests_max,l2_hits,l2_hits_min,l2_hits_max,l2_misses,l2_misses_min,l2_misses_max,hbm_read_bytes,hbm_read_bytes_min,hbm_read_bytes_max,hbm_write_bytes,hbm_write_bytes_min,hbm_write_bytes_max,hbm_total_bytes,hbm_total_bytes_min,hbm_total_bytes_max,duration_ns,duration_ns_min,duration_ns_max,hbm_bandwidth_gbps,hbm_bandwidth_gbps_min,hbm_bandwidth_gbps_max,l2_hit_rate_percent,l2_hit_rate_percent_min,l2_hit_rate_percent_max
stencil5,counter_candidate_3792efd6b063,mapping_8663479fe626,"[64, 64]",cccccrrrrrrc,48128.0,4,0,3,True,159744.0,159744.0,159744.0,31712.0,31712.0,31712.0,16384.0,16384.0,16384.0,48096.0,48096.0,48096.0,55100.0,55090.0,55101.0,14978.0,14978.0,14978.0,40122.0,40112.0,40123.0,4108032.0,4108032.0,4108032.0,1048576.0,1048576.0,1048576.0,5156608.0,5156608.0,5156608.0,7300.0,7280.0,7320.0,706.389959767009,704.4546448087432,708.3252747252748,27.183303085299457,27.18280974936934,27.188237429660557
stencil5,counter_candidate_31db106ce32b,mapping_bdacdc868999,"[64, 64]",ccccrrrrrrcc,89088.0,4,0,3,True,225280.0,225280.0,225280.0,39872.0,39872.0,39872.0,16384.0,16384.0,16384.0,56256.0,56256.0,56256.0,63381.0,63380.0,63381.0,23220.0,23220.0,23220.0,40161.0,40160.0,40161.0,4112896.0,4112896.0,4112896.0,1048576.0,1048576.0,1048576.0,5161472.0,5161472.0,5161472.0,7360.0,7340.0,7400.0,701.2869565217392,697.5135135135135,703.2117367545736,36.635584796705636,36.635584796705636,36.63616282739034
stencil5,counter_candidate_141d41276044,mapping_c7ede7efc31c,"[64, 64]",cccrrrrrrccc,171008.0,4,0,3,True,408576.0,408576.0,408576.0,56192.0,56192.0,56192.0,16384.0,16384.0,16384.0,72576.0,72576.0,72576.0,79700.5,79700.0,79701.5,41332.0,41332.0,41332.0,38368.5,38368.0,38369.5,3883520.0,3883520.0,3883520.0,1048576.0,1048576.0,1048576.0,4932096.0,4932096.0,4932096.0,7400.0,7340.0,7440.0,666.4994594594594,662.916129032258,671.9526728439059,51.85914768618351,51.85849701903558,51.8594730238394
stencil5,counter_candidate_1df1486b4e94,mapping_5659330e97a2,"[64, 64]",ccrrrrrrcccc,334848.0,4,0,3,True,736256.0,736256.0,736256.0,88832.0,88832.0,88832.0,16384.0,16384.0,16384.0,105216.0,105216.0,105216.0,112340.0,112339.0,112340.0,76660.0,76660.0,76660.0,35680.0,35679.0,35680.0,3539456.0,3539456.0,3539456.0,1048576.0,1048576.0,1048576.0,4588032.0,4588032.0,4588032.0,7320.0,7320.0,7440.0,626.7803278688525,616.6709677419354,626.7803278688525,68.23927363361224,68.23927363361224,68.23988107424849
stencil5,counter_candidate_fab639bf50a6,mapping_e5a497d4064a,"[64, 64]",crrrrrrccccc,662528.0,4,0,3,True,1327104.0,1327104.0,1327104.0,157412.0,157308.0,157990.0,16384.0,16384.0,16384.0,173796.0,173692.0,174374.0,181787.0,180799.5,182515.5,147452.0,146464.0,148189.0,34336.0,34336.0,34336.0,3368192.0,3368192.0,3368192.0,1048576.0,1048576.0,1048576.0,4416768.0,4416768.0,4416768.0,7600.0,7580.0,7600.0,581.1705263157894,581.1536842105263,582.7163909774436,81.1138495431396,81.00906389262784,81.19254943934027
stencil5,counter_candidate_a8c6d2cfd80e,mapping_f55838613db2,"[64, 64]",rrrrrrcccccc,1309696.0,3,0,3,True,1327104.0,1327104.0,1327104.0,296418.0,294857.0,297105.0,16384.0,16384.0,16384.0,312802.0,311241.0,313489.0,323280.0,320631.0,325413.0,289615.0,286967.0,291753.5,33665.0,33665.0,33665.0,3282176.0,3282176.0,3282176.0,1048576.0,1048576.0,1048576.0,4330752.0,4330752.0,4330752.0,7900.0,7880.0,7920.0,548.1999692355022,546.8121212121212,549.5878172588832,89.58640856357513,89.50070320634896,89.65637479103395
