case,candidate_id,mapping_id,inner_tile_shape,inner_word,quotient_score,native_counter,native_unit,address_expression_runs,xor_count,completed_profile_launches,complete,l1tex__t_sectors_pipe_lsu_mem_global_op_ld.sum,l1tex__t_requests_pipe_lsu_mem_global_op_ld.sum,lts__t_sectors_srcunit_tex_op_read.sum,lts__t_sectors_op_read_lookup_miss.sum,dram__bytes_read.sum,gpu__time_duration.sum,first_level_memory_accesses,first_level_memory_accesses_min,first_level_memory_accesses_max,l1_to_l2_read_traffic,l1_to_l2_read_traffic_min,l1_to_l2_read_traffic_max,l2_read_work,l2_read_work_min,l2_read_work_max,l2_read_misses,l2_read_misses_min,l2_read_misses_max,hbm_read_bytes,hbm_read_bytes_min,hbm_read_bytes_max,global_load_requests,global_load_requests_min,global_load_requests_max,sectors_per_request,sectors_per_request_min,sectors_per_request_max,duration_ns,duration_ns_min,duration_ns_max
embedding_bag,counter_candidate_2b54bb8df6a2,mapping_3ad6353aa87a,"[64, 128]",dddddddrrrrrr,262144.0,l1tex__t_sectors_pipe_lsu_mem_global_op_ld.sum,32-byte global-load L1TEX sector,2,0,3,True,294912.0,98304.0,135133.0,71305.0,1188864.0,12480.0,294912.0,294912.0,294912.0,135133.0,135132.0,135138.0,135133.0,135132.0,135138.0,71305.0,71263.0,71351.0,1188864.0,1188736.0,1189888.0,98304.0,98304.0,98304.0,3.0,3.0,3.0,12480.0,12480.0,12512.0
embedding_bag,counter_candidate_59b5c368722f,mapping_9617533aa12b,"[64, 128]",rdddddddrrrrr,524288.0,l1tex__t_sectors_pipe_lsu_mem_global_op_ld.sum,32-byte global-load L1TEX sector,3,0,3,True,557056.0,98304.0,238983.0,72470.0,1196800.0,19264.0,557056.0,557056.0,557056.0,238983.0,238789.0,239021.5,238983.0,238789.0,239021.5,72470.0,72446.0,72603.0,1196800.0,1196672.0,1196800.0,98304.0,98304.0,98304.0,5.666666666666667,5.666666666666667,5.666666666666667,19264.0,19072.0,19296.0
embedding_bag,counter_candidate_7b8815b68759,mapping_98b98554384a,"[64, 128]",rrdddddddrrrr,1048576.0,l1tex__t_sectors_pipe_lsu_mem_global_op_ld.sum,32-byte global-load L1TEX sector,3,0,3,True,1081344.0,98304.0,438769.5,72913.0,1196544.0,18816.0,1081344.0,1081344.0,1081344.0,438769.5,438273.5,439724.0,438769.5,438273.5,439724.0,72913.0,72904.0,72915.0,1196544.0,1196544.0,1196544.0,98304.0,98304.0,98304.0,11.0,11.0,11.0,18816.0,18784.0,18976.0
embedding_bag,counter_candidate_4038ace1e3b3,mapping_87b6aa3ad4dd,"[64, 128]",rrrrrrddddddd,2097152.0,l1tex__t_sectors_pipe_lsu_mem_global_op_ld.sum,32-byte global-load L1TEX sector,3,0,3,True,2129920.0,98304.0,1992498.0,72737.0,1195776.0,20736.0,2129920.0,2129920.0,2129920.0,1992498.0,1992436.0,1993412.5,1992498.0,1992436.0,1993412.5,72737.0,72737.0,72737.0,1195776.0,1195776.0,1195776.0,98304.0,98304.0,98304.0,21.666666666666668,21.666666666666668,21.666666666666668,20736.0,20720.0,20736.0
