case,candidate_id,mapping_id,inner_tile_shape,inner_word,quotient_score,address_expression_runs,xor_count,completed_profile_launches,complete,l1_cache_line_accesses,l1_cache_line_accesses_min,l1_cache_line_accesses_max,l1_to_l2_read_requests,l1_to_l2_read_requests_min,l1_to_l2_read_requests_max,l1_to_l2_write_requests,l1_to_l2_write_requests_min,l1_to_l2_write_requests_max,l1_to_l2_total_requests,l1_to_l2_total_requests_min,l1_to_l2_total_requests_max,l2_tag_requests,l2_tag_requests_min,l2_tag_requests_max,l2_hits,l2_hits_min,l2_hits_max,l2_misses,l2_misses_min,l2_misses_max,hbm_read_bytes,hbm_read_bytes_min,hbm_read_bytes_max,hbm_write_bytes,hbm_write_bytes_min,hbm_write_bytes_max,hbm_total_bytes,hbm_total_bytes_min,hbm_total_bytes_max,duration_ns,duration_ns_min,duration_ns_max,hbm_bandwidth_gbps,hbm_bandwidth_gbps_min,hbm_bandwidth_gbps_max,l2_hit_rate_percent,l2_hit_rate_percent_min,l2_hit_rate_percent_max
gesummv,counter_candidate_50667514daa2,mapping_006423de7947,"[64, 64]",rrrrrrcccccc,32768.0,3,0,3,True,1114176.0,1114176.0,1114176.0,574464.0,574432.0,574464.0,64.0,64.0,64.0,574528.0,574496.0,574528.0,576061.0,576059.5,576133.5,510129.0,510128.5,510192.0,65931.5,65931.5,65937.5,8470656.0,8469760.0,8472256.0,4096.0,4096.0,4096.0,8474752.0,8473856.0,8476352.0,554484.5,554245.0,554645.0,15.282866449484414,15.27971526864758,15.292949504441697,88.55468428533098,88.55398369137475,88.5548390215537
gesummv,counter_candidate_d270414cfee7,mapping_b035d0be6f95,"[64, 64]",crrrrrrccccc,65536.0,4,0,3,True,1310784.0,1310784.0,1310784.0,1089591.5,1089588.5,1089593.0,64.0,64.0,64.0,1089655.5,1089652.5,1089657.0,1091267.5,1091262.5,1091270.5,1025311.5,1025307.5,1025313.0,65952.0,65951.0,65961.5,8473984.0,8472768.0,8474240.0,4096.0,4096.0,4096.0,8478080.0,8476864.0,8478336.0,517244.5,517084.0,517404.0,16.391227389206563,16.384566723482763,16.39619104581523,93.95640496264858,93.95551226231868,93.95649106087403
gesummv,counter_candidate_ae61cd3505aa,mapping_0ac2dcc7b3fb,"[64, 64]",ccrrrrrrcccc,131072.0,4,0,3,True,1572928.0,1572928.0,1572928.0,1106064.0,1106064.0,1106073.0,64.0,64.0,64.0,1106128.0,1106128.0,1106137.0,1107730.5,1107729.5,1107736.0,1041770.0,1041770.0,1041779.0,65960.0,65950.0,65962.0,8472192.0,8472128.0,8474752.0,4096.0,4096.0,4096.0,8476288.0,8476224.0,8478848.0,484124.0,483824.0,485344.0,17.510224653188025,17.463835973002737,17.524786125657876,94.04556371471028,94.04526435053472,94.04635089602792
gesummv,counter_candidate_807de13e080a,mapping_f0fb62a56baa,"[64, 64]",cccrrrrrrccc,262144.0,4,0,3,True,2097216.0,2097216.0,2097216.0,1139030.0,1139024.0,1139036.0,64.0,64.0,64.0,1139094.0,1139088.0,1139100.0,1140681.0,1140679.5,1140691.5,1074728.5,1074725.0,1074741.5,65956.5,65952.5,65958.0,8472192.0,8472000.0,8474880.0,4096.0,4096.0,4096.0,8476288.0,8476096.0,8478976.0,485324.0,485264.0,485864.0,17.466993787441986,17.452186427625712,17.467854319430828,94.21784615621954,94.2177468597617,94.2181740081563
gesummv,counter_candidate_5dfde649f7a1,mapping_75fd9ff700e7,"[64, 64]",ccccrrrrrrcc,524288.0,4,0,3,True,2097216.0,2097216.0,2097216.0,1204956.0,1204944.0,1204956.0,64.0,64.0,64.0,1205020.0,1205008.0,1205020.0,1206608.0,1206599.0,1206617.5,1140650.0,1140650.0,1140662.0,65949.5,65949.5,65958.0,8473344.0,8472064.0,8473472.0,4096.0,4096.0,4096.0,8477440.0,8476160.0,8477568.0,474344.0,473724.0,474584.0,17.86252316300208,17.860868755678354,17.89463907254013,94.5342066861445,94.53370169777881,94.5342850337563
gesummv,counter_candidate_45a8ae3da61f,mapping_a698edccdfa5,"[64, 64]",cccccrrrrrrc,1048576.0,4,0,3,True,2097216.0,2097216.0,2097216.0,1336784.0,1336784.0,1336784.0,64.0,64.0,64.0,1336848.0,1336848.0,1336848.0,1338448.5,1338444.5,1338462.5,1272491.0,1272491.0,1272513.0,65950.0,65950.0,65959.0,8472064.0,8472064.0,8472128.0,4096.0,4096.0,4096.0,8476160.0,8476160.0,8476224.0,474224.0,474104.0,474664.0,17.87401790914212,17.85866208883956,17.878813118484025,95.07248163443636,95.07203726059814,95.07258721299472
