case,candidate_id,mapping_id,inner_tile_shape,inner_word,quotient_score,address_expression_runs,xor_count,completed_profile_launches,complete,l1_cache_line_accesses,l1_cache_line_accesses_min,l1_cache_line_accesses_max,l1_to_l2_read_requests,l1_to_l2_read_requests_min,l1_to_l2_read_requests_max,l1_to_l2_write_requests,l1_to_l2_write_requests_min,l1_to_l2_write_requests_max,l1_to_l2_total_requests,l1_to_l2_total_requests_min,l1_to_l2_total_requests_max,l2_tag_requests,l2_tag_requests_min,l2_tag_requests_max,l2_hits,l2_hits_min,l2_hits_max,l2_misses,l2_misses_min,l2_misses_max,hbm_read_bytes,hbm_read_bytes_min,hbm_read_bytes_max,hbm_write_bytes,hbm_write_bytes_min,hbm_write_bytes_max,hbm_total_bytes,hbm_total_bytes_min,hbm_total_bytes_max,duration_ns,duration_ns_min,duration_ns_max,hbm_bandwidth_gbps,hbm_bandwidth_gbps_min,hbm_bandwidth_gbps_max,l2_hit_rate_percent,l2_hit_rate_percent_min,l2_hit_rate_percent_max
softmax_bias,counter_candidate_983e12424ba3,mapping_0fadc8968e5d,"[64, 256]",ffffffffrrrrrr,8192.0,2,0,3,True,49152.0,49152.0,49152.0,16384.0,16384.0,16384.0,16384.0,16384.0,16384.0,32768.0,32768.0,32768.0,36406.0,36405.0,36406.0,11702.0,11702.0,11702.0,24704.0,24703.0,24704.0,2125440.0,2125184.0,2125504.0,1048576.0,1048576.0,1048576.0,3174016.0,3173760.0,3174080.0,2680.0,2680.0,2680.0,1184.1910447761195,1184.1910447761195,1184.262686567164,32.14305334285557,32.14305334285557,32.143936272490045
softmax_bias,counter_candidate_443095863b3d,mapping_d77b0c2a035b,"[64, 256]",rffffffffrrrrr,16384.0,3,0,3,True,98304.0,98304.0,98304.0,24576.0,24576.0,24576.0,16384.0,16384.0,16384.0,40960.0,40960.0,40960.0,44594.0,44594.0,44594.0,11702.0,11702.0,11702.0,32892.0,32892.0,32892.0,3173120.0,3173120.0,3173120.0,1048576.0,1048576.0,1048576.0,4221696.0,4221696.0,4221696.0,2640.0,2600.0,2680.0,1599.1272727272728,1575.2597014925373,1623.7292307692308,26.241198367493386,26.241198367493386,26.241198367493386
softmax_bias,counter_candidate_55407d8efa1c,mapping_2caef75a49fd,"[64, 256]",rrffffffffrrrr,32768.0,3,0,3,True,163840.0,163840.0,163840.0,40960.0,40960.0,40960.0,16384.0,16384.0,16384.0,57344.0,57344.0,57344.0,60978.0,60978.0,60978.0,11702.0,11702.0,11702.0,49276.0,49276.0,49276.0,5270272.0,5270272.0,5270272.0,1048576.0,1048576.0,1048576.0,6318848.0,6318848.0,6318848.0,2700.0,2660.0,2740.0,2340.4424934152767,2306.2717817561806,2375.641067390321,19.190527731312933,19.190527731312933,19.190527731312933
softmax_bias,counter_candidate_56cdde638cdf,mapping_209d4bcfa2fd,"[64, 256]",rrrffffffffrrr,65536.0,3,0,3,True,294912.0,294912.0,294912.0,73728.0,73728.0,73728.0,16384.0,16384.0,16384.0,90112.0,90112.0,90112.0,93746.0,93746.0,93746.0,28086.0,28086.0,28086.0,65660.0,65660.0,65660.0,7367424.0,7367424.0,7367424.0,1048576.0,1048576.0,1048576.0,8416000.0,8416000.0,8416000.0,2720.0,2680.0,2860.0,3094.1176470588234,2942.8012519561817,3140.2985074626868,29.959678279606596,29.959678279606596,29.959678279606596
softmax_bias,counter_candidate_161fd7ba7278,mapping_0bb19618d2c4,"[64, 256]",rrrrffffffffrr,131072.0,3,0,3,True,294912.0,294912.0,294912.0,139264.0,139264.0,139264.0,16384.0,16384.0,16384.0,155648.0,155648.0,155648.0,159282.0,159282.0,159282.0,93622.0,93622.0,93622.0,65660.0,65660.0,65660.0,7367424.0,7367424.0,7367424.0,1048576.0,1048576.0,1048576.0,8416000.0,8416000.0,8416000.0,2980.0,2920.0,3100.0,2824.2882882882886,2714.951714951715,2882.1917808219177,58.77751409449906,58.77751409449906,58.77751409449906
softmax_bias,counter_candidate_ab65a60b9248,mapping_7f716903c14c,"[64, 256]",rrrrrrffffffff,262144.0,3,0,3,True,294912.0,294912.0,294912.0,270336.0,270336.0,270336.0,16384.0,16384.0,16384.0,286720.0,286720.0,286720.0,290354.0,290354.0,290354.0,224694.0,224694.0,224694.0,65660.0,65660.0,65660.0,7367424.0,7367424.0,7367424.0,1048576.0,1048576.0,1048576.0,8416000.0,8416000.0,8416000.0,3120.0,3100.0,3220.0,2697.8793358540197,2613.7654320987654,2714.951714951715,77.3862250907513,77.3862250907513,77.3862250907513
