case,candidate_id,mapping_id,inner_tile_shape,inner_word,quotient_score,native_counter,native_unit,address_expression_runs,xor_count,completed_profile_launches,complete,l1tex__t_sectors_pipe_lsu_mem_global_op_ld.sum,l1tex__t_requests_pipe_lsu_mem_global_op_ld.sum,lts__t_sectors_srcunit_tex_op_read.sum,lts__t_sectors_op_read_lookup_miss.sum,dram__bytes_read.sum,gpu__time_duration.sum,first_level_memory_accesses,first_level_memory_accesses_min,first_level_memory_accesses_max,l1_to_l2_read_traffic,l1_to_l2_read_traffic_min,l1_to_l2_read_traffic_max,l2_read_work,l2_read_work_min,l2_read_work_max,l2_read_misses,l2_read_misses_min,l2_read_misses_max,hbm_read_bytes,hbm_read_bytes_min,hbm_read_bytes_max,global_load_requests,global_load_requests_min,global_load_requests_max,sectors_per_request,sectors_per_request_min,sectors_per_request_max,duration_ns,duration_ns_min,duration_ns_max
gesummv,counter_candidate_50667514daa2,mapping_006423de7947,"[64, 64]",rrrrrrcccccc,262144.0,l1tex__t_sectors_pipe_lsu_mem_global_op_ld.sum,32-byte global-load L1TEX sector,3,0,3,True,1327104.0,81920.0,264162.0,250451.0,4733440.0,551472.0,1327104.0,1327104.0,1327104.0,264162.0,264155.5,264170.0,264162.0,264155.5,264170.0,250451.0,249981.0,255181.0,4733440.0,4724992.0,4833920.0,81920.0,81920.0,81920.0,16.2,16.2,16.2,551472.0,508560.0,553488.0
gesummv,counter_candidate_d270414cfee7,mapping_b035d0be6f95,"[64, 64]",crrrrrrccccc,524288.0,l1tex__t_sectors_pipe_lsu_mem_global_op_ld.sum,32-byte global-load L1TEX sector,4,0,3,True,1589248.0,81920.0,264111.0,222883.0,4018560.0,395888.0,1589248.0,1589248.0,1589248.0,264111.0,264108.5,264121.5,264111.0,264108.5,264121.5,222883.0,222306.0,223010.0,4018560.0,4006016.0,4023424.0,81920.0,81920.0,81920.0,19.4,19.4,19.4,395888.0,393744.0,396112.0
gesummv,counter_candidate_ae61cd3505aa,mapping_0ac2dcc7b3fb,"[64, 64]",ccrrrrrrcccc,1048576.0,l1tex__t_sectors_pipe_lsu_mem_global_op_ld.sum,32-byte global-load L1TEX sector,4,0,3,True,2113536.0,81920.0,264103.5,222868.5,4021632.0,367456.0,2113536.0,2113536.0,2113536.0,264103.5,264087.5,264116.5,264103.5,264087.5,264116.5,222868.5,222736.5,228082.0,4021632.0,4020608.0,4146304.0,81920.0,81920.0,81920.0,25.8,25.8,25.8,367456.0,357136.0,368464.0
