case,candidate_id,mapping_id,inner_tile_shape,inner_word,quotient_score,address_expression_runs,xor_count,completed_profile_launches,complete,l1_cache_line_accesses,l1_cache_line_accesses_min,l1_cache_line_accesses_max,first_level_read_events,first_level_read_events_min,first_level_read_events_max,l1_to_l2_read_requests,l1_to_l2_read_requests_min,l1_to_l2_read_requests_max,l1_to_l2_write_requests,l1_to_l2_write_requests_min,l1_to_l2_write_requests_max,l1_to_l2_total_requests,l1_to_l2_total_requests_min,l1_to_l2_total_requests_max,l2_tag_requests,l2_tag_requests_min,l2_tag_requests_max,second_level_read_requests,second_level_read_requests_min,second_level_read_requests_max,l2_hits,l2_hits_min,l2_hits_max,l2_misses,l2_misses_min,l2_misses_max,hbm_read_bytes,hbm_read_bytes_min,hbm_read_bytes_max,hbm_write_bytes,hbm_write_bytes_min,hbm_write_bytes_max,hbm_total_bytes,hbm_total_bytes_min,hbm_total_bytes_max,duration_ns,duration_ns_min,duration_ns_max,hbm_bandwidth_gbps,hbm_bandwidth_gbps_min,hbm_bandwidth_gbps_max,l2_hit_rate_percent,l2_hit_rate_percent_min,l2_hit_rate_percent_max
gemv,counter_candidate_3905b57d523f,mapping_006423de7947,"[64, 64]",rrrrrrcccccc,65536.0,3,0,3,True,65600.0,65600.0,65600.0,262144.0,262144.0,262144.0,32768.0,32768.0,32768.0,64.0,64.0,64.0,32832.0,32832.0,32832.0,34372.5,34371.5,34375.0,34301.5,34299.0,34314.0,1206.0,1205.0,1206.5,33166.5,33165.5,33169.0,4274944.0,4274624.0,4275072.0,4096.0,4096.0,4096.0,4279040.0,4278720.0,4279168.0,478083.0,477783.5,478103.0,8.950412416348,8.950065224440031,8.956424879708207,3.508771929824561,3.5068828061482487,3.509562853667566
gemv,counter_candidate_17bdf2dd6a6b,mapping_b035d0be6f95,"[64, 64]",crrrrrrccccc,131072.0,4,0,3,True,262208.0,262208.0,262208.0,1048576.0,1048576.0,1048576.0,32848.0,32836.0,32848.0,64.0,64.0,64.0,32912.0,32900.0,32912.0,34447.0,34445.5,34448.0,34389.0,34362.5,34389.5,1283.0,1279.0,1284.5,33161.5,33160.0,33167.0,4276160.0,4273984.0,4276288.0,4096.0,4096.0,4096.0,4280256.0,4278080.0,4280384.0,400662.0,399983.0,400702.5,10.682853982246598,10.681187591368893,10.695718311262343,3.725103074971135,3.713112018317318,3.728806239132318
gemv,counter_candidate_50b4dfb9d99d,mapping_0ac2dcc7b3fb,"[64, 64]",ccrrrrrrcccc,262144.0,4,0,3,True,524352.0,524352.0,524352.0,1048576.0,1048576.0,1048576.0,32920.0,32904.0,32924.0,64.0,64.0,64.0,32984.0,32968.0,32988.0,34561.5,34532.0,34574.0,34503.0,34500.0,34512.5,1400.5,1374.0,1407.0,33157.5,33156.5,33166.5,4275264.0,4273664.0,4276928.0,4096.0,4096.0,4096.0,4279360.0,4277760.0,4281024.0,364622.5,364002.0,364762.5,11.736645221964691,11.732434111942107,11.755363981516584,4.0516704013507585,3.9789181921431944,4.069532018279632
gemv,counter_candidate_d7db69e11458,mapping_f0fb62a56baa,"[64, 64]",cccrrrrrrccc,524288.0,4,0,3,True,1048640.0,1048640.0,1048640.0,1048576.0,1048576.0,1048576.0,33184.0,33088.0,33232.0,64.0,64.0,64.0,33248.0,33152.0,33296.0,34804.5,34802.5,34812.5,34703.0,34687.0,34751.0,1646.0,1644.5,1655.0,33157.5,33153.5,33158.5,4275200.0,4275136.0,4276672.0,4096.0,4096.0,4096.0,4279296.0,4279232.0,4280768.0,358942.5,358522.0,359262.5,11.921954108609775,11.912974286715006,11.936299116918589,4.729132305107314,4.725162006256609,4.754107425052017
gemv,counter_candidate_534320303270,mapping_75fd9ff700e7,"[64, 64]",ccccrrrrrrcc,1048576.0,4,0,3,True,1048640.0,1048640.0,1048640.0,1048576.0,1048576.0,1048576.0,33728.0,33264.0,33728.0,64.0,64.0,64.0,33792.0,33328.0,33792.0,35332.5,35301.5,35337.0,35248.0,35214.0,35271.0,2166.0,2133.0,2166.0,33166.5,33159.0,33167.0,4275264.0,4275136.0,4276608.0,4096.0,4096.0,4096.0,4279360.0,4279232.0,4280704.0,350762.0,350502.0,350982.0,12.203499638712291,12.191257835606418,12.207405241193928,6.130246531401147,6.044804700683413,6.130853830098091
