case,candidate_id,mapping_id,inner_tile_shape,inner_word,quotient_score,address_expression_runs,xor_count,completed_profile_launches,complete,l1_cache_line_accesses,l1_cache_line_accesses_min,l1_cache_line_accesses_max,l1_to_l2_read_requests,l1_to_l2_read_requests_min,l1_to_l2_read_requests_max,l1_to_l2_write_requests,l1_to_l2_write_requests_min,l1_to_l2_write_requests_max,l1_to_l2_total_requests,l1_to_l2_total_requests_min,l1_to_l2_total_requests_max,l2_tag_requests,l2_tag_requests_min,l2_tag_requests_max,l2_hits,l2_hits_min,l2_hits_max,l2_misses,l2_misses_min,l2_misses_max,hbm_read_bytes,hbm_read_bytes_min,hbm_read_bytes_max,hbm_write_bytes,hbm_write_bytes_min,hbm_write_bytes_max,hbm_total_bytes,hbm_total_bytes_min,hbm_total_bytes_max,duration_ns,duration_ns_min,duration_ns_max,hbm_bandwidth_gbps,hbm_bandwidth_gbps_min,hbm_bandwidth_gbps_max,l2_hit_rate_percent,l2_hit_rate_percent_min,l2_hit_rate_percent_max
embedding_bag,counter_candidate_2b54bb8df6a2,mapping_3ad6353aa87a,"[64, 128]",dddddddrrrrrr,32768.0,2,0,3,True,163840.0,163840.0,163840.0,32768.0,32768.0,32768.0,32768.0,32768.0,32768.0,65536.0,65536.0,65536.0,76050.0,76049.5,76050.0,22582.0,22582.0,22582.0,53468.0,53467.5,53468.0,4765440.0,4765312.0,4765568.0,2097152.0,2097152.0,2097152.0,6862592.0,6862464.0,6862720.0,6480.0,6440.0,6560.0,1059.0024691358024,1046.1268292682928,1065.6298136645964,29.69362261669954,29.69362261669954,29.69381784360993
embedding_bag,counter_candidate_59b5c368722f,mapping_9617533aa12b,"[64, 128]",rdddddddrrrrr,65536.0,3,0,3,True,557056.0,557056.0,557056.0,65536.0,65536.0,65536.0,32768.0,32768.0,32768.0,98304.0,98304.0,98304.0,108943.0,108940.5,108945.0,49134.0,49134.0,49134.0,59809.0,59808.0,59812.0,5577984.0,5577792.0,5577984.0,2097152.0,2097152.0,2097152.0,7675136.0,7674944.0,7675136.0,6720.0,6720.0,6740.0,1142.1142857142859,1138.7731755424065,1142.1619047619047,45.1006489632193,45.09920006703739,45.10106295092802
embedding_bag,counter_candidate_7b8815b68759,mapping_98b98554384a,"[64, 128]",rrdddddddrrrr,131072.0,3,0,3,True,557056.0,557056.0,557056.0,131066.0,131064.0,131068.0,32768.0,32768.0,32768.0,163834.0,163832.0,163836.0,174587.5,174586.0,174592.0,107508.0,107508.0,107512.0,67079.0,67078.0,67080.0,6508288.0,6508288.0,6508544.0,2097152.0,2097152.0,2097152.0,8605440.0,8605440.0,8605696.0,6640.0,6640.0,6640.0,1296.0,1296.0,1296.0481927710844,61.57872882161104,61.5781590527175,61.579613600885295
embedding_bag,counter_candidate_9543b0aa576a,mapping_f543538b90f1,"[64, 128]",rrrdddddddrrr,262144.0,3,0,3,True,1081344.0,1081344.0,1081344.0,262128.0,262128.0,262144.0,32768.0,32768.0,32768.0,294896.0,294896.0,294912.0,305657.5,305644.5,305663.0,235792.0,235788.0,235800.0,69863.5,69861.0,69864.0,6864768.0,6864640.0,6864896.0,2097152.0,2097152.0,2097152.0,8961920.0,8961792.0,8962048.0,7060.0,6880.0,7100.0,1269.4220852593735,1262.2432298609788,1302.5953488372093,77.14340396200315,77.1430581162881,77.1437358085389
embedding_bag,counter_candidate_f7dd276850de,mapping_2244684a6513,"[64, 128]",rrrrdddddddrr,524288.0,3,0,3,True,2129920.0,2129920.0,2129920.0,524064.0,523984.0,524064.0,32768.0,32768.0,32768.0,556832.0,556752.0,556832.0,567599.5,567564.5,567610.5,497736.0,497696.0,497744.0,69865.0,69864.0,69868.0,6865152.0,6865024.0,6865280.0,2097152.0,2097152.0,2097152.0,8962304.0,8962176.0,8962432.0,7400.0,7320.0,7640.0,1211.0875675675675,1173.0931937172775,1224.3234972677596,87.6911774289141,87.68984642564892,87.69133192144491
embedding_bag,counter_candidate_afbfde6aa6a7,mapping_58951443e5d1,"[64, 128]",rrrrrdddddddr,1048576.0,3,0,3,True,2129920.0,2129920.0,2129920.0,984472.0,983896.0,984544.0,32768.0,32768.0,32768.0,1017240.0,1016664.0,1017312.0,1028241.5,1026998.5,1028259.5,958376.0,957136.0,958400.0,69868.0,69867.0,69870.5,6865408.0,6865408.0,6865536.0,2097152.0,2097152.0,2097152.0,8962560.0,8962560.0,8962688.0,8780.0,8740.0,8800.0,1020.8125529265255,1018.4727272727273,1025.4772066524233,93.20526561035001,93.19740972755565,93.20581700209567
embedding_bag,counter_candidate_4038ace1e3b3,mapping_87b6aa3ad4dd,"[64, 128]",rrrrrrddddddd,2097152.0,3,0,3,True,2129920.0,2129920.0,2129920.0,2033584.0,2032576.0,2035056.0,32768.0,32768.0,32768.0,2066352.0,2065344.0,2067824.0,2076764.5,2075729.0,2078313.5,2006904.0,2005864.0,2008456.0,69865.0,69858.5,69866.0,6865792.0,6865792.0,6865856.0,2097152.0,2097152.0,2097152.0,8962944.0,8962944.0,8963008.0,14780.0,14740.0,14820.0,606.4206020654801,604.8010839950463,608.0705903145988,96.63608896182599,96.63419443501982,96.63874097308094
