case,candidate_id,mapping_id,sample_index,grammar,inner_tile_shape,inner_word,inner_a_rows,a_rows,quotient_score,address_expression_runs,xor_count,completed_profile_launches,complete,l1_cache_line_accesses,l1_cache_line_accesses_min,l1_cache_line_accesses_max,first_level_read_events,first_level_read_events_min,first_level_read_events_max,l1_to_l2_read_requests,l1_to_l2_read_requests_min,l1_to_l2_read_requests_max,l1_to_l2_write_requests,l1_to_l2_write_requests_min,l1_to_l2_write_requests_max,l1_to_l2_total_requests,l1_to_l2_total_requests_min,l1_to_l2_total_requests_max,l2_tag_requests,l2_tag_requests_min,l2_tag_requests_max,second_level_read_requests,second_level_read_requests_min,second_level_read_requests_max,l2_hits,l2_hits_min,l2_hits_max,l2_misses,l2_misses_min,l2_misses_max,hbm_read_bytes,hbm_read_bytes_min,hbm_read_bytes_max,hbm_write_bytes,hbm_write_bytes_min,hbm_write_bytes_max,hbm_total_bytes,hbm_total_bytes_min,hbm_total_bytes_max,duration_ns,duration_ns_min,duration_ns_max,hbm_bandwidth_gbps,hbm_bandwidth_gbps_min,hbm_bandwidth_gbps_max,l2_hit_rate_percent,l2_hit_rate_percent_min,l2_hit_rate_percent_max
gemv,counter_candidate_3905b57d523f,mapping_006423de7947,,canonical,"[64, 64]",rrrrrrcccccc,,"[1, 2, 4, 8, 16, 32, 1024, 2048, 4096, 8192, 16384, 32768, 65536, 131072, 262144, 524288, 64, 128, 256, 512]",32768.0,3,0,3,True,65600.0,65600.0,65600.0,262144.0,262144.0,262144.0,32768.0,32768.0,32768.0,64.0,64.0,64.0,32832.0,32832.0,32832.0,34365.5,34365.0,34373.5,34302.5,34301.0,34316.5,1207.0,1206.0,1207.0,33159.0,33158.5,33168.0,4275264.0,4274176.0,4276800.0,4096.0,4096.0,4096.0,4279360.0,4278272.0,4280896.0,478161.0,477581.0,478381.0,8.952593656422696,8.942054887009016,8.954232906851386,3.5117324635539315,3.5084657008203877,3.5121411847452944
gemv,counter_candidate_17bdf2dd6a6b,mapping_b035d0be6f95,,canonical,"[64, 64]",crrrrrrccccc,,"[1024, 1, 2, 4, 8, 16, 32, 2048, 4096, 8192, 16384, 32768, 65536, 131072, 262144, 524288, 64, 128, 256, 512]",65536.0,4,0,3,True,262208.0,262208.0,262208.0,1048576.0,1048576.0,1048576.0,32844.0,32844.0,32848.0,64.0,64.0,64.0,32908.0,32908.0,32912.0,34450.0,34447.0,34457.5,34386.0,34382.0,34390.5,1285.0,1281.5,1288.0,33167.5,33161.5,33173.5,4274752.0,4274688.0,4276032.0,4096.0,4096.0,4096.0,4278848.0,4278784.0,4280128.0,400881.0,400821.0,401080.0,10.670968018491607,10.666802981733312,10.676112392293271,3.7301515941245893,3.7195060710740835,3.739185972246415
gemv,counter_candidate_50b4dfb9d99d,mapping_0ac2dcc7b3fb,,canonical,"[64, 64]",ccrrrrrrcccc,,"[1024, 2048, 1, 2, 4, 8, 16, 32, 4096, 8192, 16384, 32768, 65536, 131072, 262144, 524288, 64, 128, 256, 512]",131072.0,4,0,3,True,524352.0,524352.0,524352.0,1048576.0,1048576.0,1048576.0,32952.0,32912.0,32960.0,64.0,64.0,64.0,33016.0,32976.0,33024.0,34561.5,34535.0,34573.0,34494.5,34493.5,34498.0,1394.5,1370.0,1403.5,33159.0,33158.0,33170.5,4274432.0,4273920.0,4275712.0,4096.0,4096.0,4096.0,4278528.0,4278016.0,4279808.0,364781.0,364320.5,365340.5,11.728681098738628,11.715217481911075,11.739229226366545,4.03337111362219,3.9676210665971396,4.060816787210797
gemv,counter_candidate_d7db69e11458,mapping_f0fb62a56baa,,canonical,"[64, 64]",cccrrrrrrccc,,"[1024, 2048, 4096, 1, 2, 4, 8, 16, 32, 8192, 16384, 32768, 65536, 131072, 262144, 524288, 64, 128, 256, 512]",262144.0,4,0,3,True,1048640.0,1048640.0,1048640.0,1048576.0,1048576.0,1048576.0,33184.0,33160.0,33216.0,64.0,64.0,64.0,33248.0,33224.0,33280.0,34832.5,34812.5,34834.0,34767.5,34767.5,34775.0,1669.5,1653.5,1670.5,33160.0,33158.0,33167.5,4273920.0,4273728.0,4274816.0,4096.0,4096.0,4096.0,4278016.0,4277824.0,4278912.0,359181.0,359021.0,359581.0,11.913308824518355,11.897519571637382,11.913681519281116,4.79259356773947,4.749730603789715,4.796703612243726
gemv,counter_candidate_534320303270,mapping_75fd9ff700e7,,canonical,"[64, 64]",ccccrrrrrrcc,,"[1024, 2048, 4096, 8192, 1, 2, 4, 8, 16, 32, 16384, 32768, 65536, 131072, 262144, 524288, 64, 128, 256, 512]",524288.0,4,0,3,True,1048640.0,1048640.0,1048640.0,1048576.0,1048576.0,1048576.0,33568.0,33488.0,33712.0,64.0,64.0,64.0,33632.0,33552.0,33776.0,35345.0,35274.5,35356.5,35270.0,35144.0,35276.5,2182.5,2116.5,2199.0,33159.0,33155.5,33167.0,4275072.0,4273856.0,4275200.0,4096.0,4096.0,4096.0,4279168.0,4277952.0,4279296.0,350680.5,350541.0,350921.0,12.199184065753862,12.193126044542382,12.204587263485937,6.174903749619073,6.000063318034552,6.21739683741033
gemv,counter_candidate_2fc043610070,mapping_a698edccdfa5,,canonical,"[64, 64]",cccccrrrrrrc,,"[1024, 2048, 4096, 8192, 16384, 1, 2, 4, 8, 16, 32, 32768, 65536, 131072, 262144, 524288, 64, 128, 256, 512]",1048576.0,4,0,3,True,1048640.0,1048640.0,1048640.0,1048576.0,1048576.0,1048576.0,34464.0,34240.0,34752.0,64.0,64.0,64.0,34528.0,34304.0,34816.0,36412.0,36283.5,36416.0,36351.0,36343.5,36358.0,3253.5,3126.0,3256.0,33165.0,33164.0,33165.0,4273792.0,4273472.0,4276672.0,4096.0,4096.0,4096.0,4277888.0,4277568.0,4280768.0,354800.5,354701.0,354942.0,12.056690101100159,12.050174436091087,12.057255351017995,8.934259623059376,8.615486458273104,8.939651858766679
