x_val;torch_add-latency;torch_add-gbps;triton_add-latency;triton_add-speedup;triton_add-gbps;triton_add-accuracy
1048576;0.008320000022649765;(1512.3692266520663, 1367.7077957378315, 1638.4000413894662);0.007400000002235174;1.1243243270455006;(1700.3935129999086, 1565.038854004234, 1797.5588016581648);1.0
2097152;0.011920000426471233;(2111.22677010256, 1972.243213295124, 2215.3014303608848);0.014480000361800194;0.8232044287731844;(1737.9712272929332, 1545.8123641328993, 1872.457157721487);1.0
4194304;0.018400000408291817;(2735.415591475663, 2462.4094923665693, 2885.988899983432);0.017799999564886093;1.03370791337486;(2827.6207432773654, 2547.148231229205, 3017.484828791644);1.0
average;0.012880000285804272;;0.01322666664297382;0.9937455563978483;;1.0
