(M, N, K);aten_matmul-latency;aten_matmul-tflops;triton_tutorial_matmul-latency;triton_tutorial_matmul-speedup;triton_tutorial_matmul-tflops;triton_tutorial_matmul-accuracy
(1024, 1024, 1024);0.01607999950647354;133.54998220836129;0.020519999787211418;0.7836257150692079;104.65320030550713;1.0
(2048, 2048, 2048);0.10088100284337997;170.29835845974026;0.09724099934101105;1.0374328063989133;176.6731039420165;1.0
(4096, 4096, 4096);0.43968498706817627;312.5850495566025;0.4744449853897095;0.9267354500691344;289.6836465857207;1.0
average;0.18554866313934326;205.477796741568;0.19740199483931065;0.9159313238457519;190.33665027774813;1.0
